station_index,station,longitude,latitude,history_distance,future_distance,spearman_distance_rho
108,Taicang,121.14,31.421999999999997,past_recent_24h,future_day3,0.042675591084094584
108,Taicang,121.14,31.421999999999997,past_recent_24h,future_72h,0.24941594569855136
109,Jurong,119.146,31.955,past_72h,future_day1,0.326640380966461
109,Jurong,119.146,31.955,past_72h,future_day3,0.0477561031289765
109,Jurong,119.146,31.955,past_72h,future_72h,0.19159408659105387
109,Jurong,119.146,31.955,past_recent_24h,future_day1,0.4953715278354445
109,Jurong,119.146,31.955,past_recent_24h,future_day3,0.07523178675708589
109,Jurong,119.146,31.955,past_recent_24h,future_72h,0.28940628348900543
110,Jiangyin,120.269,31.916333333333338,past_72h,future_day1,0.31722893958863035
110,Jiangyin,120.269,31.916333333333338,past_72h,future_day3,0.053174647355943586
110,Jiangyin,120.269,31.916333333333338,past_72h,future_72h,0.18879039692646352
110,Jiangyin,120.269,31.916333333333338,past_recent_24h,future_day1,0.4791264344202295
110,Jiangyin,120.269,31.916333333333338,past_recent_24h,future_day3,0.05304167658266826
110,Jiangyin,120.269,31.916333333333338,past_recent_24h,future_72h,0.2548728461556554
111,Yixing,119.818,31.354,past_72h,future_day1,0.33199706969553117
111,Yixing,119.818,31.354,past_72h,future_day3,0.07761454169832668
111,Yixing,119.818,31.354,past_72h,future_72h,0.21783941251830602
111,Yixing,119.818,31.354,past_recent_24h,future_day1,0.48872580466012877
111,Yixing,119.818,31.354,past_recent_24h,future_day3,0.0669719162515066
111,Yixing,119.818,31.354,past_recent_24h,future_72h,0.28130729672116755
112,Jintan,119.579,31.744,past_72h,future_day1,0.32966773991483844
112,Jintan,119.579,31.744,past_72h,future_day3,0.06282778605244578
112,Jintan,119.579,31.744,past_72h,future_72h,0.2042146648663464
112,Jintan,119.579,31.744,past_recent_24h,future_day1,0.48779594927935194
112,Jintan,119.579,31.744,past_recent_24h,future_day3,0.07277307199569154
112,Jintan,119.579,31.744,past_recent_24h,future_72h,0.2825469472235116
113,Liyang,119.44899999999998,31.3585,past_72h,future_day1,0.3255927366388379
113,Liyang,119.44899999999998,31.3585,past_72h,future_day3,0.06489292532686806
