station_index,station,history_type,history_span,future_type,future_horizon,spearman_distance_rho
3,Tangshan,weather_only,full72,pm,full72,-0.04075025068756267
3,Tangshan,weather_only,full72,weather,full72,0.16897384374346094
3,Tangshan,weather_only,full72,joint,full72,0.14787936546984137
3,Tangshan,joint,full72,pm,day1,0.06262203065550766
3,Tangshan,joint,full72,weather,day1,0.2641326735331683
3,Tangshan,joint,full72,joint,day1,0.26404237051059265
3,Tangshan,joint,full72,pm,day3,0.0009962837490709372
3,Tangshan,joint,full72,weather,day3,0.04855132513783128
3,Tangshan,joint,full72,joint,day3,0.042692752673188165
3,Tangshan,joint,full72,pm,full72,0.009103728775932194
3,Tangshan,joint,full72,weather,full72,0.15366311791577947
3,Tangshan,joint,full72,joint,full72,0.14635122058780514
4,Qinhuangdao,pm_only,recent24,pm,day1,0.27828258657064664
4,Qinhuangdao,pm_only,recent24,weather,day1,0.09436302409075602
4,Qinhuangdao,pm_only,recent24,joint,day1,0.15248487812121952
4,Qinhuangdao,pm_only,recent24,pm,day3,0.034546867136716786
4,Qinhuangdao,pm_only,recent24,weather,day3,-0.002813834203458551
4,Qinhuangdao,pm_only,recent24,joint,day3,-0.001778304444576111
4,Qinhuangdao,pm_only,recent24,pm,full72,0.17608979152244786
4,Qinhuangdao,pm_only,recent24,weather,full72,0.0488664992166248
4,Qinhuangdao,pm_only,recent24,joint,full72,0.08033525158381288
4,Qinhuangdao,weather_only,recent24,pm,day1,0.04143338685834671
4,Qinhuangdao,weather_only,recent24,weather,day1,0.3879244104811026
4,Qinhuangdao,weather_only,recent24,joint,day1,0.37097464624366155
4,Qinhuangdao,weather_only,recent24,pm,day3,0.022037327509331878
4,Qinhuangdao,weather_only,recent24,weather,day3,0.04718441829610457
4,Qinhuangdao,weather_only,recent24,joint,day3,0.04628650007162502
4,Qinhuangdao,weather_only,recent24,pm,full72,0.028288484572121145
4,Qinhuangdao,weather_only,recent24,weather,full72,0.21582750145687538
4,Qinhuangdao,weather_only,recent24,joint,full72,0.20760622740155688
4,Qinhuangdao,joint,recent24,pm,day1,0.1052118128029532
4,Qinhuangdao,joint,recent24,weather,day1,0.3807868671967168
4,Qinhuangdao,joint,recent24,joint,day1,0.3821572825393206
4,Qinhuangdao,joint,recent24,pm,day3,0.02777214544303636
4,Qinhuangdao,joint,recent24,weather,day3,0.03847688161922041
4,Qinhuangdao,joint,recent24,joint,day3,0.03788714597178649
4,Qinhuangdao,joint,recent24,pm,full72,0.0714468748617187
4,Qinhuangdao,joint,recent24,weather,full72,0.20968347292086822
4,Qinhuangdao,joint,recent24,joint,full72,0.21146610936652732
4,Qinhuangdao,pm_only,full72,pm,day1,0.22333415433353856
4,Qinhuangdao,pm_only,full72,weather,day1,0.11969857342464336
4,Qinhuangdao,pm_only,full72,joint,day1,0.1603298995824749
4,Qinhuangdao,pm_only,full72,pm,day3,0.04910003127500782
4,Qinhuangdao,pm_only,full72,weather,day3,0.006826396706599177
4,Qinhuangdao,pm_only,full72,joint,day3,0.006492057123014281
4,Qinhuangdao,pm_only,full72,pm,full72,0.14394645448661358
4,Qinhuangdao,pm_only,full72,weather,full72,0.05298991024747757
4,Qinhuangdao,pm_only,full72,joint,full72,0.07514033928508482
4,Qinhuangdao,weather_only,full72,pm,day1,-0.02495568023892006
4,Qinhuangdao,weather_only,full72,weather,day1,0.21839165759791437
4,Qinhuangdao,weather_only,full72,joint,day1,0.19556883689220922
4,Qinhuangdao,weather_only,full72,pm,day3,0.0072698643174660795
4,Qinhuangdao,weather_only,full72,weather,day3,0.022584589146147284
4,Qinhuangdao,weather_only,full72,joint,day3,0.02432950208237552
4,Qinhuangdao,weather_only,full72,pm,full72,-0.017587478896869724
4,Qinhuangdao,weather_only,full72,weather,full72,0.10569561542390386
4,Qinhuangdao,weather_only,full72,joint,full72,0.09744967086241771
4,Qinhuangdao,joint,full72,pm,day1,0.02256034464008616
4,Qinhuangdao,joint,full72,weather,day1,0.2252761133190283
4,Qinhuangdao,joint,full72,joint,day1,0.21337111584277896
4,Qinhuangdao,joint,full72,pm,day3,0.02031945807986452
4,Qinhuangdao,joint,full72,weather,day3,0.017661823415455854
4,Qinhuangdao,joint,full72,joint,day3,0.02049444212361053
