target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
56,Binzhou,24,0.14731289038140316,-0.006666869625090777,0.0007541587806847438
57,Zibo,3,0.818464535635584,0.021611431292830496,0.008727773949502193
57,Zibo,6,0.6302180873150416,0.037094308031055956,0.016355100345693874
57,Zibo,12,0.4085265249255092,0.02405060226586886,0.009801724927380406
57,Zibo,24,0.2234113159999518,0.004728587259245298,0.00071400297862656
58,Zaozhuang,3,0.7892494674643442,0.025061095935606237,0.009999885383501383
58,Zaozhuang,6,0.5975480956286012,0.041705840797154003,0.013793245514616692
58,Zaozhuang,12,0.38789683546441833,0.019871850700841298,0.0031465396316837646
58,Zaozhuang,24,0.2084430863661727,0.0023332571499472543,0.001789517019724074
59,Yantai,3,0.7658887499314765,0.025276517708172297,0.011310148931440556
59,Yantai,6,0.5834997606555938,0.0334082360989143,0.014741314610037914
59,Yantai,12,0.36471831630406404,0.02450654450167955,0.00871994716509683
59,Yantai,24,0.1673912721989822,0.008802577886292462,0.0015863633966024526
60,Weifang,3,0.7170143001542831,0.02911852386731073,0.018604208378617648
60,Weifang,6,0.49219322447674085,0.04582798336322469,0.03092922910332585
60,Weifang,12,0.28529520381601137,0.024073680196532,0.02047526532437416
60,Weifang,24,0.14409314238101512,0.0039086454304411156,0.0036165762838716864
61,Jining,3,0.8203073530833055,0.015503636010257726,0.008787482485585696
61,Jining,6,0.6484388009887521,0.030539719339977456,0.01687887709713287
61,Jining,12,0.4392528968166727,0.019877599343443686,0.011332608007025513
61,Jining,24,0.25633841478986186,0.0024743326643273944,0.0004595958613700102
62,Taian,3,0.7880976366314353,0.011311621386124071,0.008029685465880454
62,Taian,6,0.6124036576614658,0.02085505413457034,0.013656349770144183
62,Taian,12,0.3985405105565166,0.01358211156036837,0.006978726211620434
62,Taian,24,0.1952681494286369,0.00025940236496113656,-5.6834601809163665e-05
63,Rizhao,3,0.7493666145535847,0.019370442291826162,0.0190480676731003
63,Rizhao,6,0.5734576621026932,0.027243760492153157,0.026169822375157636
63,Rizhao,12,0.3662011293139039,0.014037880274440862,0.018585008074076037
63,Rizhao,24,0.18015288183321498,0.0012855355452133788,0.002616647126721161
64,Dongying,3,0.6932475178905757,0.013092831665634908,0.004118372676660265
64,Dongying,6,0.5006976163691833,0.016021704297417227,0.00402571807152019
64,Dongying,12,0.2926830677715866,0.01237184547461967,0.0010191278731317421
